"Kod";"Nazwa";"ogółem;ogółem;2018;[osoba]";
0607083;"Urzędów (3)";8637;
0607084;"Urzędów - miasto (4)";1709;
0607085;"Urzędów - obszar wiejski (5)";6928;
0607092;"Wilkołaz (2)";5531;
0607102;"Zakrzówek (2)";6530;
0608000;"Powiat lubartowski";88789;
0608011;"Lubartów (1)";21995;
0608022;"Abramów (2)";4066;
0608032;"Firlej (2)";5914;
0608042;"Jeziorzany (2)";2816;
0608052;"Kamionka (2)";6467;
0608063;"Kock (3)";6438;
0608064;"Kock - miasto (4)";3315;
0608065;"Kock - obszar wiejski (5)";3123;
0608072;"Lubartów (2)";11736;
0608082;"Michów (2)";5905;
0608092;"Niedźwiada (2)";6221;
0608103;"Ostrów Lubelski (3)";5228;
0608104;"Ostrów Lubelski - miasto (4)";2092;
0608105;"Ostrów Lubelski - obszar wiejski (5)";3136;
0608112;"Ostrówek (2)";3882;
0608122;"Serniki (2)";4927;
0608132;"Uścimów (2)";3194;
0609000;"Powiat lubelski";154387;
0609013;"Bełżyce (3)";13278;
0609014;"Bełżyce - miasto (4)";6551;
0609015;"Bełżyce - obszar wiejski (5)";6727;
0609022;"Borzechów (2)";3762;
0609033;"Bychawa (3)";11709;
0609034;"Bychawa - miasto (4)";4942;
0609035;"Bychawa - obszar wiejski (5)";6767;
0609042;"Garbów (2)";9073;
0609052;"Głusk (2)";11148;
0609062;"Jabłonna (2)";8052;
0609072;"Jastków (2)";14032;
0609082;"Konopnica (2)";13848;
0609092;"Krzczonów (2)";4406;
0609102;"Niedrzwica Duża (2)";11895;
0609112;"Niemce (2)";19509;
0609122;"Strzyżewice (2)";8069;
0609132;"Wojciechów (2)";6009;
0609142;"Wólka (2)";12237;
0609152;"Wysokie (2)";4461;
0609162;"Zakrzew (2)";2899;
0610000;"Powiat łęczyński";57457;
0610012;"Cyców (2)";7967;
0610022;"Ludwin (2)";5595;
0610033;"Łęczna (3)";23398;
0610034;"Łęczna - miasto (4)";19006;
0610035;"Łęczna - obszar wiejski (5)";4392;
0610042;"Milejów (2)";9107;
0610052;"Puchaczów (2)";5684;
0610062;"Spiczyn (2)";5706;
0611000;"Powiat łukowski";107449;
0611011;"Łuków (1)";30025;
0611021;"Stoczek Łukowski (1)";2536;
0611032;"Adamów (2)";5623;
0611042;"Krzywda (2)";10526;
0611052;"Łuków (2)";18148;
0611062;"Serokomla (2)";3966;
0611072;"Stanin (2)";9751;
0611082;"Stoczek Łukowski (2)";7860;
0611092;"Trzebieszów (2)";7416;
0611102;"Wojcieszków (2)";6903;
0611112;"Wola Mysłowska (2)";4695;
0612000;"Powiat opolski";59726;
0612012;"Chodel (2)";6623;
0612023;"Józefów nad Wisłą (3)";6593;
0612024;"Józefów nad Wisłą - miasto (4)";923;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";5670;
0612032;"Karczmiska (2)";5619;
0612042;"Łaziska (2)";4963;
0612053;"Opole Lubelskie (3)";17234;
0612054;"Opole Lubelskie - miasto (4)";8470;
0612055;"Opole Lubelskie - obszar wiejski (5)";8764;
0612063;"Poniatowa (3)";14263;
0612064;"Poniatowa - miasto (4)";9195;
0612065;"Poniatowa - obszar wiejski (5)";5068;
0612072;"Wilków (2)";4431;
0613000;"Powiat parczewski";34954;
0613012;"Dębowa Kłoda (2)";3962;
0613022;"Jabłoń (2)";3861;
0613032;"Milanów (2)";3835;
0613043;"Parczew (3)";14475;
0613044;"Parczew - miasto (4)";10650;
0613045;"Parczew - obszar wiejski (5)";3825;
0613052;"Podedwórze (2)";1634;
0613062;"Siemień (2)";4582;
0613072;"Sosnowica (2)";2605;
0614000;"Powiat puławski";113762;
0614011;"Puławy (1)";47774;
0614022;"Baranów (2)";3915;
0614032;"Janowiec (2)";3677;
0614043;"Kazimierz Dolny (3)";6717;
0614044;"Kazimierz Dolny - miasto (4)";2579;
0614045;"Kazimierz Dolny - obszar wiejski (5)";4138;
0614052;"Końskowola (2)";8862;
0614062;"Kurów (2)";7674;
0614072;"Markuszów (2)";2964;
0614083;"Nałęczów (3)";8993;
0614084;"Nałęczów - miasto (4)";3768;
0614085;"Nałęczów - obszar wiejski (5)";5225;
0614092;"Puławy (2)";12044;
0614102;"Wąwolnica (2)";4687;
0614112;"Żyrzyn (2)";6455;
0615000;"Powiat radzyński";59278;
0615011;"Radzyń Podlaski (1)";15731;
0615022;"Borki (2)";6035;
0615032;"Czemierniki (2)";4365;
0615042;"Kąkolewnica (2)";8102;
0615052;"Komarówka Podlaska (2)";4250;
0615062;"Radzyń Podlaski (2)";8086;
0615072;"Ulan-Majorat (2)";6016;
0615082;"Wohyń (2)";6693;
0616000;"Powiat rycki";56166;
0616011;"Dęblin (1)";16149;
0616022;"Kłoczew (2)";7189;
0616032;"Nowodwór (2)";4099;
0616043;"Ryki (3)";20391;
0616044;"Ryki - miasto (4)";9667;
0616045;"Ryki - obszar wiejski (5)";10724;
0616052;"Stężyca (2)";5157;
0616062;"Ułęż (2)";3181;
0617000;"Powiat świdnicki";72039;
0617011;"Świdnik (1)";39312;
0617022;"Mełgiew (2)";9780;
0617033;"Piaski (3)";10551;
0617034;"Piaski - miasto (4)";2556;
0617035;"Piaski - obszar wiejski (5)";7995;
0617042;"Rybczewice (2)";3421;
0617052;"Trawniki (2)";8975;
0618000;"Powiat tomaszowski";83715;
0618011;"Tomaszów Lubelski (1)";19198;
0618022;"Bełżec (2)";3337;
0618032;"Jarczów (2)";3438;
0618042;"Krynice (2)";3260;
0618053;"Lubycza Królewska (3)";6217;
0618054;"Lubycza Królewska - miasto (4)";2443;
0618055;"Lubycza Królewska - obszar wiejski (5)";3774;
0618063;"Łaszczów (3)";6063;
0618064;"Łaszczów - miasto (4)";2154;
0618065;"Łaszczów - obszar wiejski (5)";3909;
0618072;"Rachanie (2)";5155;
0618082;"Susiec (2)";7497;
0618092;"Tarnawatka (2)";3941;
0618102;"Telatyn (2)";3992;
0618112;"Tomaszów Lubelski (2)";11393;
0618123;"Tyszowce (3)";5605;
0618124;"Tyszowce - miasto (4)";2132;
0618125;"Tyszowce - obszar wiejski (5)";3473;
0618132;"Ulhówek (2)";4619;
0619000;"Powiat włodawski";38668;
0619011;"Włodawa (1)";13220;
0619022;"Hanna (2)";2905;
0619032;"Hańsk (2)";3750;
0619042;"Stary Brus (2)";2103;
0619052;"Urszulin (2)";4179;
0619062;"Włodawa (2)";6059;
0619072;"Wola Uhruska (2)";3879;
0619082;"Wyryki (2)";2573;
0620000;"Powiat zamojski";106935;
0620012;"Adamów (2)";4708;
0620022;"Grabowiec (2)";4013;
0620032;"Komarów-Osada (2)";5023;
0620043;"Krasnobród (3)";7126;
0620044;"Krasnobród - miasto (4)";3094;
0620045;"Krasnobród - obszar wiejski (5)";4032;
0620052;"Łabunie (2)";6237;
0620062;"Miączyn (2)";5818;
0620072;"Nielisz (2)";5488;
0620082;"Radecznica (2)";5720;
0620092;"Sitno (2)";6756;
0620102;"Skierbieszów (2)";5162;
0620112;"Stary Zamość (2)";5190;
0620122;"Sułów (2)";4532;
0620133;"Szczebrzeszyn (3)";11262;
0620134;"Szczebrzeszyn - miasto (4)";5040;
0620135;"Szczebrzeszyn - obszar wiejski (5)";6222;
0620142;"Zamość (2)";23130;
0620153;"Zwierzyniec (3)";6770;
0620154;"Zwierzyniec - miasto (4)";3194;
0620155;"Zwierzyniec - obszar wiejski (5)";3576;
0661000;"Powiat m.Biała Podlaska";57352;
0661011;"Biała Podlaska (1)";57352;
0662000;"Powiat m.Chełm";62670;
0662011;"Chełm (1)";62670;
0663000;"Powiat m.Lublin";339682;
0663011;"Lublin (1)";339682;
0664000;"Powiat m.Zamość";63813;
0664011;"Zamość (1)";63813;
0800000;"LUBUSKIE";1014548;
0801000;"Powiat gorzowski";71549;
0801011;"Kostrzyn nad Odrą (1)";17776;
0801022;"Bogdaniec (2)";7140;
0801032;"Deszczno (2)";9779;
0801042;"Kłodawa (2)";8609;
0801052;"Lubiszyn (2)";6876;
0801062;"Santok (2)";8486;
0801073;"Witnica (3)";12883;
0801074;"Witnica - miasto (4)";6763;
0801075;"Witnica - obszar wiejski (5)";6120;
0802000;"Powiat krośnieński";55245;
0802011;"Gubin (1)";16687;
0802022;"Bobrowice (2)";3205;
0802032;"Bytnica (2)";2520;
0802042;"Dąbie (2)";4943;
0802052;"Gubin (2)";7168;
0802063;"Krosno Odrzańskie (3)";17898;
0802064;"Krosno Odrzańskie - miasto (4)";11378;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";6520;
0802072;"Maszewo (2)";2824;
0803000;"Powiat międzyrzecki";58024;
0803012;"Bledzew (2)";4401;
0803023;"Międzyrzecz (3)";25039;
0803024;"Międzyrzecz - miasto (4)";18099;
0803025;"Międzyrzecz - obszar wiejski (5)";6940;
0803032;"Przytoczna (2)";5632;
0803042;"Pszczew (2)";4288;
0803053;"Skwierzyna (3)";12208;
0803054;"Skwierzyna - miasto (4)";9698;
0803055;"Skwierzyna - obszar wiejski (5)";2510;
0803063;"Trzciel (3)";6456;
0803064;"Trzciel - miasto (4)";2389;
0803065;"Trzciel - obszar wiejski (5)";4067;
0804000;"Powiat nowosolski";86634;
0804011;"Nowa Sól (1)";38843;
0804023;"Bytom Odrzański (3)";5440;
0804024;"Bytom Odrzański - miasto (4)";4331;
0804025;"Bytom Odrzański - obszar wiejski (5)";1109;
0804032;"Kolsko (2)";3333;
0804043;"Kożuchów (3)";16056;
0804044;"Kożuchów - miasto (4)";9490;
0804045;"Kożuchów - obszar wiejski (5)";6566;
0804052;"Nowa Sól (2)";6969;
0804063;"Nowe Miasteczko (3)";5391;
0804064;"Nowe Miasteczko - miasto (4)";2770;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2621;
0804073;"Otyń (3)";6980;
0804074;"Otyń - miasto (4)";1601;
0804075;"Otyń - obszar wiejski (5)";5379;
0804082;"Siedlisko (2)";3622;
0805000;"Powiat słubicki";47101;
0805013;"Cybinka (3)";6515;
0805014;"Cybinka - miasto (4)";2756;
0805015;"Cybinka - obszar wiejski (5)";3759;
0805022;"Górzyca (2)";4286;
0805033;"Ośno Lubuskie (3)";6456;
0805034;"Ośno Lubuskie - miasto (4)";3949;
0805035;"Ośno Lubuskie - obszar wiejski (5)";2507;
0805043;"Rzepin (3)";9775;
0805044;"Rzepin - miasto (4)";6564;
0805045;"Rzepin - obszar wiejski (5)";3211;
0805053;"Słubice (3)";20069;
0805054;"Słubice - miasto (4)";16773;
0805055;"Słubice - obszar wiejski (5)";3296;
0806000;"Powiat strzelecko-drezdenecki";49366;
0806013;"Dobiegniew (3)";6597;
0806014;"Dobiegniew - miasto (4)";3088;
0806015;"Dobiegniew - obszar wiejski (5)";3509;
0806023;"Drezdenko (3)";17236;
0806024;"Drezdenko - miasto (4)";10182;
0806025;"Drezdenko - obszar wiejski (5)";7054;
0806032;"Stare Kurowo (2)";4082;
0806043;"Strzelce Krajeńskie (3)";17097;
0806044;"Strzelce Krajeńskie - miasto (4)";9969;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";7128;
0806052;"Zwierzyn (2)";4354;
0807000;"Powiat sulęciński";35297;
0807012;"Krzeszyce (2)";4748;
0807023;"Lubniewice (3)";3140;
0807024;"Lubniewice - miasto (4)";2042;
0807025;"Lubniewice - obszar wiejski (5)";1098;
0807032;"Słońsk (2)";4748;
0807043;"Sulęcin (3)";15814;
0807044;"Sulęcin - miasto (4)";10157;
0807045;"Sulęcin - obszar wiejski (5)";5657;
0807053;"Torzym (3)";6847;
0807054;"Torzym - miasto (4)";2524;
0807055;"Torzym - obszar wiejski (5)";4323;
0808000;"Powiat świebodziński";55840;
0808012;"Lubrza (2)";3537;
0808022;"Łagów (2)";5001;
0808032;"Skąpe (2)";5078;
0808042;"Szczaniec (2)";3861;
0808053;"Świebodzin (3)";30048;
0808054;"Świebodzin - miasto (4)";21763;
0808055;"Świebodzin - obszar wiejski (5)";8285;
0808063;"Zbąszynek (3)";8315;
0808064;"Zbąszynek - miasto (4)";5021;
0808065;"Zbąszynek - obszar wiejski (5)";3294;
0809000;"Powiat zielonogórski";75750;
0809013;"Babimost (3)";6202;
0809014;"Babimost - miasto (4)";3927;
0809015;"Babimost - obszar wiejski (5)";2275;
0809022;"Bojadła (2)";3269;
0809033;"Czerwieńsk (3)";10050;
0809034;"Czerwieńsk - miasto (4)";4063;
0809035;"Czerwieńsk - obszar wiejski (5)";5987;
0809043;"Kargowa (3)";5829;
0809044;"Kargowa - miasto (4)";3754;
0809045;"Kargowa - obszar wiejski (5)";2075;
0809053;"Nowogród Bobrzański (3)";9490;
0809054;"Nowogród Bobrzański - miasto (4)";5188;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4302;
0809063;"Sulechów (3)";26588;
0809064;"Sulechów - miasto (4)";16925;
0809065;"Sulechów - obszar wiejski (5)";9663;
0809072;"Świdnica (2)";6619;
0809082;"Trzebiechów (2)";3426;
0809092;"Zabór (2)";4277;
0810000;"Powiat żagański";79583;
0810011;"Gozdnica (1)";3061;
0810021;"Żagań (1)";25812;
0810032;"Brzeźnica (2)";3763;
0810043;"Iłowa (3)";6882;
0810044;"Iłowa - miasto (4)";3912;
0810045;"Iłowa - obszar wiejski (5)";2970;
0810053;"Małomice (3)";5206;
0810054;"Małomice - miasto (4)";3489;
0810055;"Małomice - obszar wiejski (5)";1717;
0810062;"Niegosławice (2)";4446;
0810073;"Szprotawa (3)";20795;
0810074;"Szprotawa - miasto (4)";11912;
0810075;"Szprotawa - obszar wiejski (5)";8883;
0810082;"Wymiarki (2)";2297;
0810092;"Żagań (2)";7321;
0811000;"Powiat żarski";96876;
0811011;"Łęknica (1)";2483;
0811021;"Żary (1)";37682;
0811032;"Brody (2)";3416;
0811043;"Jasień (3)";7069;
0811044;"Jasień - miasto (4)";4328;
0811045;"Jasień - obszar wiejski (5)";2741;
0811052;"Lipinki Łużyckie (2)";3377;
0811063;"Lubsko (3)";18550;
0811064;"Lubsko - miasto (4)";14000;
0811065;"Lubsko - obszar wiejski (5)";4550;
0811072;"Przewóz (2)";3165;
0811082;"Trzebiel (2)";5692;
0811092;"Tuplice (2)";3072;
0811102;"Żary (2)";12370;
0812000;"Powiat wschowski";39065;
0812013;"Sława (3)";12747;
0812014;"Sława - miasto (4)";4316;
0812015;"Sława - obszar wiejski (5)";8431;
0812023;"Szlichtyngowa (3)";5078;
0812024;"Szlichtyngowa - miasto (4)";1288;
0812025;"Szlichtyngowa - obszar wiejski (5)";3790;
0812033;"Wschowa (3)";21240;
0812034;"Wschowa - miasto (4)";13953;
0812035;"Wschowa - obszar wiejski (5)";7287;
0861000;"Powiat m.Gorzów Wielkopolski";123921;
0861011;"Gorzów Wielkopolski (1)";123921;
0862000;"Powiat m.Zielona Góra";140297;
0862011;"Zielona Góra (1)";140297;
1000000;"ŁÓDZKIE";2466322;
1001000;"Powiat bełchatowski";112997;
1001011;"Bełchatów (1)";57432;
1001022;"Bełchatów (2)";11436;
1001032;"Drużbice (2)";5235;
1001042;"Kleszczów (2)";6181;
1001052;"Kluki (2)";4349;
1001062;"Rusiec (2)";5120;
1001072;"Szczerców (2)";8216;
1001083;"Zelów (3)";15028;
1001084;"Zelów - miasto (4)";7636;
1001085;"Zelów - obszar wiejski (5)";7392;
1002000;"Powiat kutnowski";97295;
1002011;"Kutno (1)";44172;
1002022;"Bedlno (2)";5386;
1002032;"Dąbrowice (2)";1894;
1002043;"Krośniewice (3)";8458;
1002044;"Krośniewice - miasto (4)";4375;
1002045;"Krośniewice - obszar wiejski (5)";4083;
1002052;"Krzyżanów (2)";4247;
1002062;"Kutno (2)";8720;
1002072;"Łanięta (2)";2459;
1002082;"Nowe Ostrowy (2)";3480;
1002092;"Oporów (2)";2546;
1002102;"Strzelce (2)";3947;
1002113;"Żychlin (3)";11986;
1002114;"Żychlin - miasto (4)";8220;
1002115;"Żychlin - obszar wiejski (5)";3766;
1003000;"Powiat łaski";50103;
1003012;"Buczek (2)";5087;
1003023;"Łask (3)";27747;
1003024;"Łask - miasto (4)";17344;
1003025;"Łask - obszar wiejski (5)";10403;
1003032;"Sędziejowice (2)";6413;
1003042;"Widawa (2)";7393;
1003052;"Wodzierady (2)";3463;
1004000;"Powiat łęczycki";50143;
1004011;"Łęczyca (1)";14094;
1004022;"Daszyna (2)";3896;
1004032;"Góra Świętej Małgorzaty (2)";4402;
1004042;"Grabów (2)";5997;
1004052;"Łęczyca (2)";8532;
1004062;"Piątek (2)";6037;
1004072;"Świnice Warckie (2)";3923;
1004082;"Witonia (2)";3262;
1005000;"Powiat łowicki";78616;
1005011;"Łowicz (1)";28501;
1005022;"Bielawy (2)";5385;
1005032;"Chąśno (2)";2919;
1005042;"Domaniewice (2)";4664;
1005052;"Kiernozia (2)";3408;
1005062;"Kocierzew Południowy (2)";4249;
1005072;"Łowicz (2)";7708;
1005082;"Łyszkowice (2)";6693;
1005092;"Nieborów (2)";9396;
1005102;"Zduny (2)";5693;
1006000;"Powiat łódzki wschodni";71705;
1006022;"Andrespol (2)";13795;
1006032;"Brójce (2)";6548;
1006073;"Koluszki (3)";23662;
1006074;"Koluszki - miasto (4)";13026;
1006075;"Koluszki - obszar wiejski (5)";10636;
1006082;"Nowosolna (2)";4963;
1006103;"Rzgów (3)";10348;
1006104;"Rzgów - miasto (4)";3401;
1006105;"Rzgów - obszar wiejski (5)";6947;
1006113;"Tuszyn (3)";12389;
1006114;"Tuszyn - miasto (4)";7292;
1006115;"Tuszyn - obszar wiejski (5)";5097;
1007000;"Powiat opoczyński";76623;
1007012;"Białaczów (2)";5802;
1007023;"Drzewica (3)";10487;
1007024;"Drzewica - miasto (4)";3844;
1007025;"Drzewica - obszar wiejski (5)";6643;
1007032;"Mniszków (2)";4771;
1007043;"Opoczno (3)";34353;
1007044;"Opoczno - miasto (4)";21327;
1007045;"Opoczno - obszar wiejski (5)";13026;
1007052;"Paradyż (2)";4415;
1007062;"Poświętne (2)";3176;
1007072;"Sławno (2)";7672;
1007082;"Żarnów (2)";5947;
1008000;"Powiat pabianicki";119289;
1008011;"Konstantynów Łódzki (1)";18096;
1008021;"Pabianice (1)";65283;
1008032;"Dłutów (2)";4632;
1008042;"Dobroń (2)";7707;
1008052;"Ksawerów (2)";7694;
1008062;"Lutomiersk (2)";8473;
1008072;"Pabianice (2)";7404;
1009000;"Powiat pajęczański";51597;
1009013;"Działoszyn (3)";12599;
1009014;"Działoszyn - miasto (4)";5922;
1009015;"Działoszyn - obszar wiejski (5)";6677;
1009022;"Kiełczygłów (2)";4032;
1009032;"Nowa Brzeźnica (2)";4573;
1009043;"Pajęczno (3)";11644;
1009044;"Pajęczno - miasto (4)";6781;
1009045;"Pajęczno - obszar wiejski (5)";4863;
1009052;"Rząśnia (2)";4909;
1009062;"Siemkowice (2)";4791;
1009072;"Strzelce Wielkie (2)";4618;
1009082;"Sulmierzyce (2)";4431;
1010000;"Powiat piotrkowski";91315;
1010012;"Aleksandrów (2)";4355;
1010022;"Czarnocin (2)";4108;
1010032;"Gorzkowice (2)";8522;
1010042;"Grabica (2)";6078;
1010052;"Łęki Szlacheckie (2)";3483;
1010062;"Moszczenica (2)";12862;
1010072;"Ręczno (2)";3526;
1010082;"Rozprza (2)";12342;
1010093;"Sulejów (3)";16323;
1010094;"Sulejów - miasto (4)";6204;
1010095;"Sulejów - obszar wiejski (5)";10119;
1010102;"Wola Krzysztoporska (2)";11929;
1010113;"Wolbórz (3)";7787;
1010114;"Wolbórz - miasto (4)";2337;
1010115;"Wolbórz - obszar wiejski (5)";5450;
1011000;"Powiat poddębicki";41205;
1011012;"Dalików (2)";3903;
1011022;"Pęczniew (2)";3464;
1011033;"Poddębice (3)";15606;
1011034;"Poddębice - miasto (4)";7448;
1011035;"Poddębice - obszar wiejski (5)";8158;
1011043;"Uniejów (3)";7004;
1011044;"Uniejów - miasto (4)";2984;
1011045;"Uniejów - obszar wiejski (5)";4020;
1011052;"Wartkowice (2)";6229;
1011062;"Zadzim (2)";4999;
1012000;"Powiat radomszczański";113315;
1012011;"Radomsko (1)";46087;
1012022;"Dobryszyce (2)";4454;
1012032;"Gidle (2)";6127;
1012042;"Gomunice (2)";5861;
1012053;"Kamieńsk (3)";5912;
1012054;"Kamieńsk - miasto (4)";2782;
1012055;"Kamieńsk - obszar wiejski (5)";3130;
1012062;"Kobiele Wielkie (2)";4449;
1012072;"Kodrąb (2)";4571;
1012082;"Lgota Wielka (2)";4294;
1012092;"Ładzice (2)";4784;
1012102;"Masłowice (2)";4193;
1012113;"Przedbórz (3)";7217;
1012114;"Przedbórz - miasto (4)";3572;
1012115;"Przedbórz - obszar wiejski (5)";3645;
1012122;"Radomsko (2)";5616;
1012132;"Wielgomłyny (2)";4596;
1012142;"Żytno (2)";5154;
1013000;"Powiat rawski";48808;
1013011;"Rawa Mazowiecka (1)";17404;
1013023;"Biała Rawska (3)";11371;
1013024;"Biała Rawska - miasto (4)";3197;
1013025;"Biała Rawska - obszar wiejski (5)";8174;
1013032;"Cielądz (2)";3979;
1013042;"Rawa Mazowiecka (2)";8747;
1013052;"Regnów (2)";1821;
1013062;"Sadkowice (2)";5486;
1014000;"Powiat sieradzki";118240;
1014011;"Sieradz (1)";42267;
1014023;"Błaszki (3)";14555;
1014024;"Błaszki - miasto (4)";2122;
1014025;"Błaszki - obszar wiejski (5)";12433;
1014032;"Brąszewice (2)";4532;
1014042;"Brzeźnio (2)";6350;
1014052;"Burzenin (2)";5504;
1014062;"Goszczanów (2)";5492;
1014072;"Klonowa (2)";2859;
1014082;"Sieradz (2)";10629;
1014093;"Warta (3)";12737;
1014094;"Warta - miasto (4)";3263;
1014095;"Warta - obszar wiejski (5)";9474;
1014102;"Wróblew (2)";6096;
1014113;"Złoczew (3)";7219;
1014114;"Złoczew - miasto (4)";3384;
1014115;"Złoczew - obszar wiejski (5)";3835;
1015000;"Powiat skierniewicki";38195;
1015012;"Bolimów (2)";4031;
1015022;"Głuchów (2)";5760;
1015032;"Godzianów (2)";2654;
1015042;"Kowiesy (2)";2914;
1015052;"Lipce Reymontowskie (2)";3294;
1015062;"Maków (2)";5956;
1015072;"Nowy Kawęczyn (2)";3383;
1015082;"Skierniewice (2)";7574;
1015092;"Słupia (2)";2629;
1016000;"Powiat tomaszowski";117259;
1016011;"Tomaszów Mazowiecki (1)";62649;
1016022;"Będków (2)";3313;
1016032;"Budziszewice (2)";2183;
1016042;"Czerniewice (2)";5083;
1016052;"Inowłódz (2)";3829;
1016062;"Lubochnia (2)";7161;
1016072;"Rokiciny (2)";6159;
1016082;"Rzeczyca (2)";4641;
1016092;"Tomaszów Mazowiecki (2)";11182;
1016102;"Ujazd (2)";7738;
1016112;"Żelechlinek (2)";3321;
1017000;"Powiat wieluński";76699;
1017012;"Biała (2)";5484;
1017022;"Czarnożyły (2)";4520;
1017032;"Konopnica (2)";3784;
1017042;"Mokrsko (2)";5410;
1017052;"Osjaków (2)";4798;
1017062;"Ostrówek (2)";4522;
1017072;"Pątnów (2)";6562;
1017082;"Skomlin (2)";3322;
1017093;"Wieluń (3)";31649;
1017094;"Wieluń - miasto (4)";22521;
1017095;"Wieluń - obszar wiejski (5)";9128;
1017102;"Wierzchlas (2)";6648;
1018000;"Powiat wieruszowski";42213;
1018012;"Bolesławiec (2)";4089;
1018022;"Czastary (2)";3956;
1018032;"Galewice (2)";6179;
1018042;"Lututów (2)";4598;
1018052;"Łubnice (2)";4069;
1018062;"Sokolniki (2)";5035;
1018073;"Wieruszów (3)";14287;
1018074;"Wieruszów - miasto (4)";8568;
1018075;"Wieruszów - obszar wiejski (5)";5719;
1019000;"Powiat zduńskowolski";66766;
1019011;"Zduńska Wola (1)";42094;
1019023;"Szadek (3)";7330;
1019024;"Szadek - miasto (4)";1917;
1019025;"Szadek - obszar wiejski (5)";5413;
1019032;"Zapolice (2)";5165;
1019042;"Zduńska Wola (2)";12177;
1020000;"Powiat zgierski";165916;
1020011;"Głowno (1)";14291;
1020021;"Ozorków (1)";19456;
1020031;"Zgierz (1)";56529;
1020043;"Aleksandrów Łódzki (3)";31969;
1020044;"Aleksandrów Łódzki - miasto (4)";21682;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";10287;
1020052;"Głowno (2)";4812;
1020062;"Ozorków (2)";7009;
1020072;"Parzęczew (2)";5077;
1020083;"Stryków (3)";12626;
1020084;"Stryków - miasto (4)";3494;
1020085;"Stryków - obszar wiejski (5)";9132;
1020092;"Zgierz (2)";14147;
1021000;"Powiat brzeziński";30890;
1021011;"Brzeziny (1)";12547;
1021022;"Brzeziny (2)";5732;
1021032;"Dmosin (2)";4480;
1021042;"Jeżów (2)";3403;
1021052;"Rogów (2)";4728;
1061000;"Powiat m.Łódź";685285;
1061011;"Łódź (1)";685285;
1062000;"Powiat m.Piotrków Trybunalski";73670;
1062011;"Piotrków Trybunalski (1)";73670;
1063000;"Powiat m.Skierniewice";48178;
1063011;"Skierniewice (1)";48178;
1200000;"MAŁOPOLSKIE";3400577;
1201000;"Powiat bocheński";106514;
1201011;"Bochnia (1)";29922;
1201022;"Bochnia (2)";19872;
1201032;"Drwinia (2)";6517;
1201042;"Lipnica Murowana (2)";5642;
1201052;"Łapanów (2)";8139;
1201063;"Nowy Wiśnicz (3)";14021;
1201064;"Nowy Wiśnicz - miasto (4)";2745;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";11276;
1201072;"Rzezawa (2)";11276;
1201082;"Trzciana (2)";5582;
1201092;"Żegocina (2)";5543;
1202000;"Powiat brzeski";93206;
1202012;"Borzęcin (2)";8379;
1202023;"Brzesko (3)";36314;
1202024;"Brzesko - miasto (4)";16825;
1202025;"Brzesko - obszar wiejski (5)";19489;
1202033;"Czchów (3)";9803;
1202034;"Czchów - miasto (4)";2344;
1202035;"Czchów - obszar wiejski (5)";7459;
1202042;"Dębno (2)";14723;
1202052;"Gnojnik (2)";8027;
1202062;"Iwkowa (2)";6426;
1202072;"Szczurowa (2)";9534;
1203000;"Powiat chrzanowski";125385;
1203013;"Alwernia (3)";12640;
1203014;"Alwernia - miasto (4)";3370;
1203015;"Alwernia - obszar wiejski (5)";9270;
1203022;"Babice (2)";9146;
1203033;"Chrzanów (3)";47169;
1203034;"Chrzanów - miasto (4)";36945;
1203035;"Chrzanów - obszar wiejski (5)";10224;
1203043;"Libiąż (3)";22433;
1203044;"Libiąż - miasto (4)";17084;
1203045;"Libiąż - obszar wiejski (5)";5349;
1203053;"Trzebinia (3)";33997;
1203054;"Trzebinia - miasto (4)";19846;
1203055;"Trzebinia - obszar wiejski (5)";14151;
1204000;"Powiat dąbrowski";59350;
1204012;"Bolesław (2)";2682;
1204023;"Dąbrowa Tarnowska (3)";21287;
1204024;"Dąbrowa Tarnowska - miasto (4)";11906;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";9381;
1204032;"Gręboszów (2)";3368;
1204042;"Mędrzechów (2)";3460;
1204052;"Olesno (2)";7934;
1204062;"Radgoszcz (2)";7439;
1204073;"Szczucin (3)";13180;
1204074;"Szczucin - miasto (4)";4173;
1204075;"Szczucin - obszar wiejski (5)";9007;
1205000;"Powiat gorlicki";109104;
1205011;"Gorlice (1)";27597;
1205023;"Biecz (3)";16858;
1205024;"Biecz - miasto (4)";4599;
1205025;"Biecz - obszar wiejski (5)";12259;
1205033;"Bobowa (3)";9778;
1205034;"Bobowa - miasto (4)";3136;
1205035;"Bobowa - obszar wiejski (5)";6642;
1205042;"Gorlice (2)";17277;
1205052;"Lipinki (2)";6806;
1205062;"Łużna (2)";8514;
1205072;"Moszczenica (2)";4922;
1205082;"Ropa (2)";5498;
1205092;"Sękowa (2)";5017;
1205102;"Uście Gorlickie (2)";6837;
1206000;"Powiat krakowski";277145;
1206012;"Czernichów (2)";14587;
